@RELATION Infoplasmid

@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric
@ATTRIBUTE att10 numeric
@ATTRIBUTE att11 numeric
@ATTRIBUTE att12 numeric
@ATTRIBUTE att13 numeric
@ATTRIBUTE att14 numeric
@ATTRIBUTE att15 numeric
@ATTRIBUTE att16 numeric
@ATTRIBUTE class {F,P,Q,V}

@DATA
44.070000000, -15.841000000, -12.862000000, 0.384900000, 46.320000000, 986.464600000, 55.210000000, 49.110000000, 50.820000000, -0.038600000, 49.678924188, -12.111000000, -0.048700000, -13.324000000, -15.984000000, 46.190000000, V
56.630000000, -11.248000000, -15.466000000, -0.372700000, 56.310000000, 5950.370100000, 38.030000000, 37.160000000, 42.750000000, -0.834900000, 50.381912155, -15.230000000, -0.730000000, -9.551000000, -12.241000000, 49.660000000, F
51.830000000, -17.180000000, -15.651000000, -0.350000000, 54.550000000, 601.205500000, 65.000000000, 49.550000000, 58.490000000, -0.284500000, 51.266225084, -13.385000000, 0.049700000, -13.319000000, -17.742000000, 58.880000000, Q
36.850000000, -16.615000000, -11.494000000, 0.098400000, 44.260000000, 748.128200000, 43.800000000, 37.350000000, 55.140000000, 0.275700000, 47.754388557, -9.842000000, 0.051400000, -11.606000000, -10.823000000, 49.580000000, V
52.850000000, -17.466000000, -15.890000000, -0.316400000, 55.050000000, 574.976900000, 67.280000000, 54.940000000, 60.480000000, -0.543500000, 49.204706325, -13.588000000, 0.011600000, -15.104000000, -18.879000000, 58.880000000, Q
49.480000000, -13.518000000, -14.793000000, 0.290300000, 48.690000000, 2657.976700000, 55.030000000, 64.650000000, 46.030000000, -0.070400000, 45.621996706, -13.413000000, 0.130600000, -18.623000000, -15.621000000, 47.420000000, P
58.010000000, -10.895000000, -15.284000000, -0.426500000, 54.530000000, 6691.834800000, 32.400000000, 38.470000000, 38.700000000, -0.789500000, 48.290000856, -15.226000000, -0.656100000, -9.556000000, -9.901000000, 44.970000000, F
56.630000000, -9.462000000, -15.466000000, -0.372700000, 56.310000000, 11725.097900000, 38.030000000, 32.970000000, 35.000000000, -0.206500000, 50.381912155, -15.230000000, -0.730000000, -11.640000000, -12.241000000, 49.660000000, F
57.420000000, -10.416000000, -12.498000000, 0.456700000, 46.260000000, 11066.787500000, 49.970000000, 48.170000000, 38.780000000, -0.850900000, 47.648053047, -16.014000000, 0.071000000, -12.035000000, -13.191000000, 39.080000000, F
56.640000000, -17.503000000, -12.265000000, 0.014900000, 48.250000000, 653.066700000, 55.950000000, 39.680000000, 59.610000000, 0.165000000, 47.233401387, -15.977000000, -0.120800000, -11.776000000, -16.204000000, 46.350000000, F
46.490000000, -15.174000000, -15.184000000, -0.392700000, 53.100000000, 1746.283800000, 47.360000000, 41.990000000, 55.920000000, -0.155000000, 48.579807689, -14.800000000, -0.182100000, -11.545000000, -13.449000000, 43.980000000, P
38.900000000, -12.447000000, -11.855000000, -0.157000000, 38.400000000, 3744.547300000, 38.100000000, 35.330000000, 44.750000000, -0.960000000, 48.056184680, -10.633000000, 0.225400000, -10.421000000, -10.722000000, 48.680000000, V
